"FLIR_ID_Date","photo_type","date","site"
"FLIR2269_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2271_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2273_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2275_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2277_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2279_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2281_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2283_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2285_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2287_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2289_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2291_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2293_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2295_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2297_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2299_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2301_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2307_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2305_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2307_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2309_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2311_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2313_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2315_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2317_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2319_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2125_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2129_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2131_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2133_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2135_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2137_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2139_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2141_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2143_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2145_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2149_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2151_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2153_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2155_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2159_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2161_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2163_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2165_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2167_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2169_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2171_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2173_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2174_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2177_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2179_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2181_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2183_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2185_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2187_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2189_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2191_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2193_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2195_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2197_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2199_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2201_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2203_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2205_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2207_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2209_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2211_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2215_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2217_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2219_2024-07","transect",2024-07-23,"Vorisek Pond"
"FLIR2025_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2027_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2029_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2031_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2033_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2035_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2037_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2039_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2041_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2043_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2045_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2047_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2049_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2051_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2055_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2057_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2059_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2061_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2063_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2065_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2067_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2069_2024-07","transect",2024-07-09,"Tryon-Weber"
